Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
NIFTY,30-Dec-16,25-Jan-17,PE,9600,1409.05,1409.05,1409.05,1409.05,1409.05,1409.05,1,8.26,1.06,6825,75,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,9650,0,0,0,902.65,0,1420,0,0,0,0,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,9700,0,0,0,948.1,0,1469.75,0,0,0,0,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,9750,0,0,0,994,0,1519.55,0,0,0,0,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,9800,0,0,0,1655.65,1655.65,1569.3,0,0,0,75,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,9850,0,0,0,1087.05,0,1619.05,0,0,0,0,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,9900,0,0,0,1134.1,0,1668.85,0,0,0,0,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,9950,0,0,0,1181.45,0,1718.6,0,0,0,0,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,10000,1850,1850,1785,1795.8,1795.7,1795.8,181,1603.41,245.91,794775,-4425,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,10050,0,0,0,1276.9,0,1818.15,0,0,0,0,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,10100,1908,1908,1890,1892.95,1892.95,1892.95,31,278.95,44.13,3300,375,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,10150,0,0,0,1353.4,0,1917.7,0,0,0,0,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,6400,1,1,0.3,0.3,0.3,0.3,4,19.2,0,150,150,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,6450,0,0,0,1.45,0,0,0,0,0,0,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,6500,0.75,0.75,0.4,0.6,0.6,0.6,784,3822.35,0.35,127575,-5250,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,6550,0,0,0,0.85,0,0,0,0,0,0,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,6600,0,0,0,2.6,0,0,0,0,0,0,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,6650,0,0,0,3.3,0,0,0,0,0,0,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,6700,0,0,0,1.25,1.25,0,0,0,0,600,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,6750,0,0,0,5.1,0,0,0,0,0,0,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,6800,0.9,0.9,0.9,0.9,0.9,0.9,1,5.1,0,3675,75,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,6850,0,0,0,1.9,0,0,0,0,0,0,0,8185.8
